2025-10-16T18:10:24-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:24-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:24-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:24-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:24-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:24-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:24-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:24-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:24-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:24-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:57-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:10:57-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:10:57-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:10:57-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:10:58-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:10:58-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:11:02-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:11:02-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:11:03-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:11:03-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:11:03-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:11:03-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:12:07-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:12:07-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:12:08-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:12:08-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:12:08-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:12:08-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:12:18-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:12:18-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:12:19-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:12:19-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:12:19-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
